"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14"
"1" "PROT1" "660b8fa6128d3ad97bb010c8816032c1" 222 "PANTHER" "PTHR11177:SF22" NA 8 220 "-" TRUE "27-04-2013" NA NA NA
"2" "PROT1" "660b8fa6128d3ad97bb010c8816032c1" 222 "Pfam" "PF00704" "Glycosyl hydrolases family 18" 17 220 "4.4E-56" TRUE "27-04-2013" "IPR001223" "Glycoside hydrolase, family 18, catalytic domain" "GO:0005975|GO:0004553"
"3" "PROT1" "660b8fa6128d3ad97bb010c8816032c1" 222 "PANTHER" "PTHR11177" NA 8 220 "-" TRUE "27-04-2013" NA NA NA
"4" "PROT1" "660b8fa6128d3ad97bb010c8816032c1" 222 "Gene3D" "G3DSA:3.20.20.80" NA 27 220 "4.4E-51" TRUE "27-04-2013" "IPR013781" "Glycoside hydrolase, subgroup, catalytic core" "GO:0003824|GO:0043169|GO:0005975"
"5" "PROT1" "660b8fa6128d3ad97bb010c8816032c1" 222 "SUPERFAMILY" "SSF51445" NA 27 219 "-" TRUE "27-04-2013" "IPR017853" "Glycoside hydrolase, superfamily" NA
"6" "CARHR000010.1" "cd7298370a40d05051dcdf061df48506" 265 "PANTHER" "PTHR10548" NA 3 263 "-" TRUE "27-04-2013" NA NA NA
"7" "CARHR000010.1" "cd7298370a40d05051dcdf061df48506" 265 "ProSiteProfiles" "PS50102" "Eukaryotic RNA Recognition Motif (RRM) profile." 13 84 "-" TRUE "27-04-2013" "IPR000504" "RNA recognition motif domain" "GO:0003676"
"8" "CARHR000010.1" "cd7298370a40d05051dcdf061df48506" 265 "Gene3D" "G3DSA:3.30.70.330" NA 11 96 "4.1E-20" TRUE "27-04-2013" "IPR012677" "Nucleotide-binding, alpha-beta plait" "GO:0000166"
"9" "CARHR000010.1" "cd7298370a40d05051dcdf061df48506" 265 "PANTHER" "PTHR10548:SF23" NA 3 263 "-" TRUE "27-04-2013" NA NA NA
"10" "CARHR000010.1" "cd7298370a40d05051dcdf061df48506" 265 "SUPERFAMILY" "SSF54928" NA 6 110 "-" TRUE "27-04-2013" NA NA NA
